project,timeing,tests,failed,error,skipped,mode
dbcp,60.64,480,0,1,0,baseTime
dbcp,6.28,0,0,0,0,ekstaziAEC
dbcp-surefireNotFound,1.38,0,0,0,0,baseTime
dbcp-surefireNotFound,1.3,0,0,0,0,ekstaziAEC
dbcp-surefireNotFound,1.16,0,0,0,0,baseTime
dbcp-surefireNotFound,1.17,0,0,0,0,ekstaziAEC
dbcp-surefireNotFound,1.18,0,0,0,0,baseTime
dbcp-surefireNotFound,1.18,0,0,0,0,ekstaziAEC
dbcp-surefireNotFound,1.23,0,0,0,0,baseTime
dbcp-surefireNotFound,1.16,0,0,0,0,ekstaziAEC
dbcp,73.1,480,0,0,0,baseTime
dbcp,5.97,0,0,0,0,ekstaziAEC
dbcp,60.47,480,0,0,0,baseTime
dbcp,6.15,0,0,0,0,ekstaziAEC
dbcp,61.21,480,0,0,0,baseTime
dbcp,6.55,0,0,0,0,ekstaziAEC
dbcp,63.09,480,0,0,0,baseTime
dbcp,7.92,0,0,0,0,ekstaziAEC
dbcp,61.75,480,0,0,0,baseTime
dbcp,8.05,0,0,0,0,ekstaziAEC
dbcp,63.75,480,0,0,0,baseTime
dbcp,7.51,0,0,0,0,ekstaziAEC
dbcp,66.7,480,0,0,0,baseTime
dbcp,8.66,0,0,0,0,ekstaziAEC
dbcp,61.54,480,0,0,0,baseTime
dbcp,7.27,0,0,0,0,ekstaziAEC
dbcp,63.2,480,0,0,0,baseTime
dbcp,48.83,379,0,0,0,ekstaziAEC
dbcp,60.8,480,0,1,0,baseTime
dbcp,61.28,475,0,0,0,ekstaziAEC
dbcp,60.37,480,0,0,0,baseTime
dbcp,6.43,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.69,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.69,11,0,0,0,baseTime
empire-db-sub-empire-db,28.13,102,0,0,6,ekstaziAEC
empire-db-sub-empire-db-codegen,28.13,11,0,0,0,ekstaziAEC
empire-db-sub-empire-db,20.14,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,20.14,11,0,0,0,baseTime
empire-db-surefireNotFound,23.73,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,21.08,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,21.08,11,0,0,0,baseTime
empire-db-surefireNotFound,23.82,0,0,0,0,ekstaziAEC
